Entry_Number,Description,Category,Weight_g,Location,Page
Entry-25-11,03/18/25 Convenience City Inc. 17.5 Grams Cannabis 18.5% Total THC 04/03/25 Smoke StarInc. 7 GramsCannabis 22.7% Total THC 04/03/25 Smoke City 3.5 Grams Cannabis & 2 8.7% TotalTHC Pre-Rolled Cannabis Cigarettes,Preroll,17.5,,25
Entry-25-12,04/03/25 Smoke StarInc. 7 GramsCannabis 22.7% Total THC 04/03/25 Smoke City 3.5 Grams Cannabis & 2 8.7% TotalTHC Pre-Rolled Cannabis Cigarettes,Preroll,3.5,,25
Entry-25-13,04/03/25 Smoke City 3.5 Grams Cannabis & 2 8.7% TotalTHC Pre-Rolled Cannabis Cigarettes,Preroll,3.5,,25
Entry-25-14,"gradeCannabis. DetectiveArmigerfurtherconsultedwithAgentMangoldoftheATCCwho advisedthattheabove mentioned store frontswere not licenseddispensaries, thereforwouldonlybepermitted to sell hemp-derivedCBD and Delta-8 THC products, as well as Hemp derived products that contain less than 0.3% Delta-9 THC",Unknown,,frontswere not licenseddispens,25
Entry-25-15,"that upon scanning some of the QR codes on the pre-rolled Cannabis cigarettes, they would direct the person scanning to a third-party tests' results page, which advertised a higher total THC content. This information was readilyavailable to theBabar's as they purchased inventory fortheirstores,knowi",Preroll,,s,25
Entry-25-9,"Asa resultofthefieldtesting, Cannabis from each storetestedhigherthan the0.3% permittablebyMaryland State Law. As an example, several ofthe purchases made from the stores were testedprior to obtaining and executing the search and seizure warrants in this investigation. A sampling ofthosepurchases, b",Unknown,,testedhigherthan the0,25
Entry-71-16,"Thismeans thatbusinesses thatarenotcannabislicenseholders m?ynotsellùuoxicating cannabisproducts, to includeintoxicatinghemp-derivedproducts. This includes edibles, beverages,orother cannabisproducts intended forhumanconsumptionor inhalation thatcontain anytypeofTHCabo?thesúdutoryrestrictions. • Thi",Edible,,,71
Entry-71-17,"cannabisproducts, to includeintoxicatinghemp-derivedproducts. This includes edibles, beverages,orother cannabisproducts intended forhumanconsumptionor inhalation thatcontain anytypeofTHCabo?thesúdutoryrestrictions. • This includes: o Delta-8-THC, Delta-9-THC,andDelta-IO-THC, regardlessofhowderived;",Edible,,,71
Entry-71-18,"beverages,orother cannabisproducts intended forhumanconsumptionor inhalation thatcontain anytypeofTHCabo?thesúdutoryrestrictions. • This includes: o Delta-8-THC, Delta-9-THC,andDelta-IO-THC, regardlessofhowderived; o Anyothercannabinoid, exceptcannabidiol that theMCA determines to cause",Edible,,,71
Entry-71-19,"o Delta-8-THC, Delta-9-THC,andDelta-IO-THC, regardlessofhowderived; o Anyothercannabinoid, exceptcannabidiol that theMCA determines to cause intoxication; and o Any otherchemicallysimilarcompound, substance, derivative, or isomerofTHC, as identified bythe MCA.",Ambiguous,,,71
Entry-71-20,"Accordingly, the ATCCdirectsall businessesthatare notMCAcannabis license holders but seD intoxicating cannabisproducts -to includehempderivedproducts -to REMOVE from theirshelvesproducts with a tobl THC concentration greater than 0.5 mgper serving,or2.5 mg ofTHC per package, as well as anyproducts t",Unknown,,,71
Entry-71-21,"but seD intoxicating cannabisproducts -to includehempderivedproducts -to REMOVE from theirshelvesproducts with a tobl THC concentration greater than 0.5 mgper serving,or2.5 mg ofTHC per package, as well as anyproducts thatcontain non-naturally occurring cannabinoids, such as tetrahydrocannabinol ace",Unknown,,,71
Entry-71-22,"from theirshelvesproducts with a tobl THC concentration greater than 0.5 mgper serving,or2.5 mg ofTHC per package, as well as anyproducts thatcontain non-naturally occurring cannabinoids, such as tetrahydrocannabinol acetate(fHC-0,ATHC,THC-X, Delta 8-0). • Retailers maystill sell:",Unknown,,,71
Entry-71-23,"serving,or2.5 mg ofTHC per package, as well as anyproducts thatcontain non-naturally occurring cannabinoids, such as tetrahydrocannabinol acetate(fHC-0,ATHC,THC-X, Delta 8-0). • Retailers maystill sell: o Hemp products not intended forhumanconsumptionorinhalation, such as",Unknown,,,71
Entry-71-24,"occurring cannabinoids, such as tetrahydrocannabinol acetate(fHC-0,ATHC,THC-X, Delta 8-0). • Retailers maystill sell: o Hemp products not intended forhumanconsumptionorinhalation, such as lotions, balms, salves, orpetCBDproducts.",Unknown,,,71
Entry-71-25,"morethan 0.5 milligrams(mg)ofTHCperserving or 2.5 mgofTHC per package. o Hemp-derived tincture maybesold withoutalicense ifthe product contains a CBO:THC ratio that isatleast 15:l orgreater, e.g. aproductwith2mgofTHC musthave over30 mgofCBD; isdispensed in a containerthat issmallerthan 4",Edible,,,71
Entry-71-26,"CBO:THC ratio that isatleast 15:l orgreater, e.g. aproductwith2mgofTHC musthave over30 mgofCBD; isdispensed in a containerthat issmallerthan 4 ounces, withadropperlid; isonly dissolved in oneofthree solvents(alcohol,",Unknown,,,71
Entry-71-27,"ofbusinesses to identify unlicensedcannabisoperators byinspectingproducts,displayed forsale Advisory#24-002 PageZ issuedDate: July 19,2023 071",Unknown,,,71
Entry-72-28,"tocustomers,during business hours. Ifintoxicatingcannabisproducts, to include intoxicating hempproducts, areobserved, FEDagentswillconduct furtherinvestigationto determineifthe businesssellingordistributing such products islicensedbytheMCA. Uponconfirmation that thebusiness is notlicensedto sell int",Unknown,,,72
Entry-72-29,"hempproducts, areobserved, FEDagentswillconduct furtherinvestigationto determineifthe businesssellingordistributing such products islicensedbytheMCA. Uponconfirmation that thebusiness is notlicensedto sell intoxicatingcannabis products, to include intoxicatinghemp derivedproducts,FEDagentswilltake t",Unknown,,,72
Entry-72-30,"thebusiness is notlicensedto sell intoxicatingcannabis products, to include intoxicatinghemp derivedproducts,FEDagentswilltake the necessary stepstoenforcethe lawagainstbusinesses andindividuals that sellordistributesuchproducts in violation ofthe ABCA. Businessesthatare not MCAcannabis licenseholde",Unknown,,,72
Entry-72-31,"Businessesthatare not MCAcannabis licenseholders butsell intoxicatingcannabis products, to",Unknown,,,72
Entry-72-32,"o A personwho sellsaproductwitha THCconcentration higherthan 0.5 mg per serving or 2.5 mg perpackage isguiltyofa misdemeanorandwill be subjectto a fineof up to $5,000. o Aperson who sells any productthat contains non-naturallyoccurring cannabinoids is guiltyofamisdemeanor andwill besubject to a fine",Unknown,,,72
Entry-72-33,"distributing intoxicating cannabisproducts, lo includeintoxicating hemp derived products. These intoxicating cannabis products, includingintoxicatinghempderivedproducts,mustbe removed ordestroyedand maynotbesold. PleaseseeAttachmentA,enclosedwiththis Advisory, which provides examples ofthe typesofpr",Unknown,,,72
Entry-72-34,"These intoxicating cannabis products, includingintoxicatinghempderivedproducts,mustbe removed ordestroyedand maynotbesold. PleaseseeAttachmentA,enclosedwiththis Advisory, which provides examples ofthe typesofproducts thatare no longerpermitted to be sold without anMCA issuedcannabislicense. Business",Unknown,,,72
Entry-73-35,• MarylandCannabisAdministration:informa1i1m.mmcc{£1!111arylar1d.gov o Contacts: !ll!Py/ttmll'C.mnr_ylnnru;ov/Png_cs/contact-r1s3.aspx • Legal& LegislativeDivision:ùllld-tmlil?cn--:e<ka1umbi:- :1tc-c(!!LJnoJvland.gov o Questionsaboutthecannabisenforcementprocess. • field EnforcementDivision: dlte<J.,Unknown,,,73
Entry-242-36,"This means thatbusinesses that are not cannabis license holders may notsell intoxicating cannabisproducts, to include intoxicatinghemp-derivedproducts. This includes edibles, beverages, or other cannabisproducts intended for human consumption or inhalation thatcontain any typeofTHCabovethestatutory ",Edible,,,242
Entry-242-37,"cannabisproducts, to include intoxicatinghemp-derivedproducts. This includes edibles, beverages, or other cannabisproducts intended for human consumption or inhalation thatcontain any typeofTHCabovethestatutory restrictions. • This includes: o Delta-8-THC, Delta-9-THC, andDelta-IO-THC, regardless of",Edible,,,242
Entry-242-38,"beverages, or other cannabisproducts intended for human consumption or inhalation thatcontain any typeofTHCabovethestatutory restrictions. • This includes: o Delta-8-THC, Delta-9-THC, andDelta-IO-THC, regardless ofhow derived; o Any other cannabinoid, exceptcannabidiol thattheMCA determines to cause",Edible,,,242
Entry-242-39,"o Delta-8-THC, Delta-9-THC, andDelta-IO-THC, regardless ofhow derived; o Any other cannabinoid, exceptcannabidiol thattheMCA determines to cause intoxication; and o Any other chemically similarcompound, substance, derivative, or isomerofTHC, as identified by theMCA.",Ambiguous,,,242
Entry-242-40,"Accordingly, the ATCC directs all businesses that are not MCA cannabis license holders butselJ intoxicating cannabis products - to include hemp derived products - to REMOVE from their shelvesproducts with a total THC concentration greater than 0.5 mg per serving, or 2.5 mg ofTHC per package, as well",Unknown,,,242
Entry-242-41,"butselJ intoxicating cannabis products - to include hemp derived products - to REMOVE from their shelvesproducts with a total THC concentration greater than 0.5 mg per serving, or 2.5 mg ofTHC per package, as well as any products thatcontain non-naturally occurring cannabinoids, such as tetrahydroca",Unknown,,,242
Entry-242-42,"from their shelvesproducts with a total THC concentration greater than 0.5 mg per serving, or 2.5 mg ofTHC per package, as well as any products thatcontain non-naturally occurring cannabinoids, such as tetrahydrocannabinol acetate (THC-O, ATHC, THC-X, Delta 8-0). • Retaílers may still sell:",Unknown,,,242
Entry-242-43,"serving, or 2.5 mg ofTHC per package, as well as any products thatcontain non-naturally occurring cannabinoids, such as tetrahydrocannabinol acetate (THC-O, ATHC, THC-X, Delta 8-0). • Retaílers may still sell: o Hempproducts not intended forhuman consumption or inhalation, suchas",Unknown,,,242
Entry-242-44,"occurring cannabinoids, such as tetrahydrocannabinol acetate (THC-O, ATHC, THC-X, Delta 8-0). • Retaílers may still sell: o Hempproducts not intended forhuman consumption or inhalation, suchas lotions, balms, salves, or petCBD products.",Unknown,,,242
Entry-242-45,"more than 0.5 milligrams (mg) ofTHC per serving or 2.5 mgofTHCper package. o Hemp-derived tincture may be sold without a license iftheproduct contains a CBD:THC ratio that is atleast 15:l or greater, e.g. a product with 2 mg ofTHC musthave over30 mg ofCBD; is dispensed in acontainer that is smaller ",Edible,,,242
Entry-242-46,"CBD:THC ratio that is atleast 15:l or greater, e.g. a product with 2 mg ofTHC musthave over30 mg ofCBD; is dispensed in acontainer that is smaller than 4 ounces, with a dropperlid; is only dissolved in one ofthree solvents (alcohol, glycerin, or vegetable oil); and contains no more than 100 milligra",Unknown,,,242
Entry-242-47,"ofbusinesses to identify unlicensed cannabis operators by inspectingproducts, displayed forsale Advisory #24-002 Page2 Issued Date: July 19,2023 242",Unknown,,,242
Entry-243-48,"to customers, during business hours. Ifintoxicating cannabis products, to include intoxicating hempproducts, are observed, FED agents will conduct furtherinvestigation to determine ifthe business sellingor distributing suchproducts is licensed bytheMCA. Upon confirmation that the business is not lic",Unknown,,,243
Entry-243-49,"hempproducts, are observed, FED agents will conduct furtherinvestigation to determine ifthe business sellingor distributing suchproducts is licensed bytheMCA. Upon confirmation that the business is not licensed to sell intoxicatingcannabis products, to include intoxicating hemp derivedproducts, FED ",Unknown,,,243
Entry-243-50,"the business is not licensed to sell intoxicatingcannabis products, to include intoxicating hemp derivedproducts, FED agentswill take the necessary steps to enforce the law againstbusinesses and individuals that sell or distribute such products in violationofthe ABCA. Businesses thatare not MCA cann",Unknown,,,243
Entry-243-51,"Businesses thatare not MCA cannabis licenseholders but sell intoxicating cannabis products, to",Unknown,,,243
Entry-243-52,"o Aperson who sells aproduct with aTHC concentration higherthan 0.5 mg per serving or 2.5 mg perpackage is guilty ofa misdemeanor and will be subject to a fine of upto $5,000. o A person who sells anyproduct that contains non-naturally occurring cannabinoids is guilty ofa misdemeanor and will be sub",Unknown,,,243
Entry-243-53,"distributing intoxicating cannabisproducts, to include intoxicating hemp derived products. These intoxicatingcannabis products, including intoxicating hemp derived products, must be removed or destroyed and may not besold. Please see Attachment A, enclosedwith this Advisory, whichprovides examples o",Unknown,,,243
Entry-243-54,"These intoxicatingcannabis products, including intoxicating hemp derived products, must be removed or destroyed and may not besold. Please see Attachment A, enclosedwith this Advisory, whichprovides examples ofthetypes ofproducts that are no longerpermittedto be sold without an MCA issued cannabis l",Unknown,,,243
Entry-243-55,"holders, but currently sell intoxicating cannabisproducts, to include hemp derived products, should review their inventory to identify theseproducts forremoval. More informationabout MCA, including the process to obtain a license and theproduct testing procedures may be found athllps://mmcc.marylamJ",Unknown,,,243
Entry-243-56,"Division, at dllld-unlicensedcannabis atcc(@.maryland.gov ifyou have any questions aboutthis Advisory or the enforcementprocess. ffyou have any information about businesses continuing to display and sell prohibited products, it should bedirected to our FieldEnforcement Division at dJfed !!.uliçeosed",Unknown,,,243
Entry-243-57,"!!.uliçeosedcannabisJtcc@mª1:YlanrjgQy . Advisory#24-002 ., - .? Page3 Issued Date: July 19, 2023 ? .... 243",Unknown,,,243
Entry-244-58,"• MarylandCannabis Administration: infonnation.mmcc@maryland.goy o Contacts: https;//mmcc.1111uyland.gov/Pages/contact-L1s3.aspx, • Legal & Legislative Division: dllld-unlicensedcannabis aLcc@maryland.gov o Questionsabout the cannabis enforcement process. • Field EnforcementDivision: dlfed-unlicensc",Unknown,,,244
Entry-244-59,• Legal & Legislative Division: dllld-unlicensedcannabis aLcc@maryland.gov o Questionsabout the cannabis enforcement process. • Field EnforcementDivision: dlfed-unlicenscdcannabis atcc@maryland.gov o 1fyouhave informationabout businesses continuing to displayandsell prohibitedproducts.,Unknown,,,244
Entry-282-60,"• THC Cartridges - 981.2 Grams • THC Oil - 28 Grams • Pre-Rolled Cannabis - 2,066.5 Grams • Pre-Packaged Cannabis - 3,294.75 Grams • THCGummies - 912.13 Grams",Cartridge,981.2,,282
Entry-282-61,"• THC Oil - 28 Grams • Pre-Rolled Cannabis - 2,066.5 Grams • Pre-Packaged Cannabis - 3,294.75 Grams • THCGummies - 912.13 Grams • Suspected Psilocybin Edibles/Gummies - 460 Grams",Edible,28.0,,282
Entry-282-62,• THC Cartridges-767 Grams • THCOil - 56Grams • Pre-RolledCannabis - 373.5 Grams • Pre-PackagedCannabis - 613.5 Grams • THCGummies - 345.9Grams,Cartridge,767.0,,282
Entry-282-63,• THCOil - 56Grams • Pre-RolledCannabis - 373.5 Grams • Pre-PackagedCannabis - 613.5 Grams • THCGummies - 345.9Grams • Suspected Psilocybin Edibles/Gummies - 23.8 Grams,Edible,56.0,,282
Entry-282-64,"• THC Cartridges - 7,985.4Grams • THC Oil - 374Grams • Pre-RolledCannabis - 3,566.95 Grams • Pre-Packaged Cannabis - 2,128.3 Grams • Loose BulkCannabis -3,057 Grams",Cartridge,985.4,,282
Entry-282-65,"• THC Oil - 374Grams • Pre-RolledCannabis - 3,566.95 Grams • Pre-Packaged Cannabis - 2,128.3 Grams • Loose BulkCannabis -3,057 Grams • THC Edibles/Gummies - 6,348.4 Grams",Edible,374.0,,282
Entry-282-66,"• Pre-RolledCannabis - 3,566.95 Grams • Pre-Packaged Cannabis - 2,128.3 Grams • Loose BulkCannabis -3,057 Grams • THC Edibles/Gummies - 6,348.4 Grams • Suspected PsilocybinEdibles/Gummies- 1,453.68 Grams",Edible,566.95,,282
Entry-282-67,"Detective Armiger knows that Maryland is a total THC state, where some states throughout the United",Unknown,,,282
Entry-282-68,Cannabis sample's total THC must not exceed 0.3% on a dry weight basis. 202500044777 Page4of6 282,Unknown,,,282
Entry-283-69,"As aresult ofthe field testing, Cannabis from each store tested higherthan the0.3% permittable by Maryland State Law. As an example, several ofthe purchases made from the stores were tested prior to obtaining and executing the search and seizure warrants in this investigation. A sampling ofthose pur",Unknown,,tested higherthan the0,283
Entry-283-70,03/18/25 Tobacco Town 3.5 Grams Cannabis 10.7% Total THC 03/18/25 Convenience City Inc. 17.5 Grams Cannabis 18.5% Total THC 04/03/25 Smoke Star lnc. 7 Grams Cannabis 22.7% Total THC 04/03/25 Smoke City 3.5 Grams Cannabis & 2 8.7%Total THC Pre-Rolled Cannabis,Preroll,3.5,,283
Entry-283-71,03/18/25 Convenience City Inc. 17.5 Grams Cannabis 18.5% Total THC 04/03/25 Smoke Star lnc. 7 Grams Cannabis 22.7% Total THC 04/03/25 Smoke City 3.5 Grams Cannabis & 2 8.7%Total THC Pre-Rolled Cannabis Cigarettes,Preroll,17.5,,283
Entry-283-72,04/03/25 Smoke Star lnc. 7 Grams Cannabis 22.7% Total THC 04/03/25 Smoke City 3.5 Grams Cannabis & 2 8.7%Total THC Pre-Rolled Cannabis Cigarettes,Preroll,7.0,,283
Entry-283-73,04/03/25 Smoke City 3.5 Grams Cannabis & 2 8.7%Total THC Pre-Rolled Cannabis Cigarettes,Preroll,3.5,,283
Entry-283-74,"gradeCannabis. DetectiveArmigerfurtherconsulted withAgentMangoldoftheATCCwhoadvisedthattheabove mentioned store fronts were not licenseddispensaries, there forwould only be permittedto sell hemp-derived CBD and Delta-8 THC products, as well as Hemp derived products that contain less than 0.3% Delta-",Unknown,,fronts were not licenseddispen,283
Entry-283-75,"that upon scanning some of the QR codes on the pre-rolled Cannabis cigarettes, they would direct the person scanning to a third-party tests' results page, which advertised a higher total THC content. This information was readilyavailable to theBabar's as they purchased inventory fortheirstores, know",Preroll,,s,283
Entry-287-76,"SinceFebruary 202S,youraffia11tbegan investigatingthedistributionofCannabisby Zaheer Bahar, Rn Asian male, having a date of birth of January Ist, 1973, and bis wife, AmandeepBahar, anAsian female,havinga dateofbirth ofJuly31'1, 1984, utilizingseveral",Unknown,,,287
EV-25,1 Three Pre-Rolled Cigarette Containing Suspected Cannabis EV-25-1244,Preroll,,,335
EV-25,"2 Multi-Color ""Curevana"" Container Containing Suspected Cannabis EV-25-1243",Ambiguous,,,335
Entry-336-79,"DetectiveArmigermet with AgentMangold, whowouldconduct thetest. Thecannabiswastestedutilizingthe LíghtLab3 CannabisAnalyzer. As aresultofthetest,thepurchased Cannabistested atatotal THC level of1.5%THC. DetectiveP. Armiger #160 Corporal Wolfe#592 SergeantDeVeau#497 Page1 336",Unknown,,,336
Entry-336-80,"LíghtLab3 CannabisAnalyzer. As aresultofthetest,thepurchased Cannabistested atatotal THC level of1.5%THC. DetectiveP. Armiger #160 Corporal Wolfe#592 SergeantDeVeau#497 Page1 336",Unknown,,,336
Entry-346-81,"Afterthe sale, Detective Scroggins returnedto his covertvehicleand eventuallytransportedthe Cannabis totheHarfordCounty DrugTaskForceOfficeforprocessing. Nothing furtherto reportatthis time. Corporal0easel#984 SergeantSives#835",Unknown,,,346
Entry-348-82,307.Sg ofPre-rolled Cannabis (195 Units) 603.Sg ofPrepackaged Cannabis (158 Units) 709.Sg ofJarred Cannabis(14 Units) 847.54gofTHC Edibles (286 Units) 2691.SgofVacuum Sealed BagsofCannabis (6 Units),Edible,,,348
Entry-348-83,"603.Sg ofPrepackaged Cannabis (158 Units) 709.Sg ofJarred Cannabis(14 Units) 847.54gofTHC Edibles (286 Units) 2691.SgofVacuum Sealed BagsofCannabis (6 Units) $78,792.00of USD",Edible,,,348
Entry-348-84,"709.Sg ofJarred Cannabis(14 Units) 847.54gofTHC Edibles (286 Units) 2691.SgofVacuum Sealed BagsofCannabis (6 Units) $78,792.00of USD -=r,,,,./-14( J?ll'tt:)l.,,",Edible,,,348
Entry-348-85,"847.54gofTHC Edibles (286 Units) 2691.SgofVacuum Sealed BagsofCannabis (6 Units) $78,792.00of USD -=r,,,,./-14( J?ll'tt:)l.,, On May 29th, 2025, at approximately 1211 hours,Detective Scroggins #1257 and members ofthe",Edible,,,348
Entry-348-86,"2691.SgofVacuum Sealed BagsofCannabis (6 Units) $78,792.00of USD -=r,,,,./-14( J?ll'tt:)l.,, On May 29th, 2025, at approximately 1211 hours,Detective Scroggins #1257 and members ofthe AberdeenPolice Department enteredthe establishment known as the ""All In One Food Mart"" to serve asearch",Unknown,,,348
Entry-349-88,"Behindthe front counter, Detectives located largeamounts ofcannabis ontheflooralongwith a digital",Unknown,,,349
s,"Detectives began asystematic search ofthe store's cabinets for items containing THC content, and items advertised as those that produce psychedelic effects. Behindthe front counter, Detectives located largeamounts ofcannabis ontheflooralongwith a digital",Unknown,,,349
Entry-350-89,"psylocibin, aschedule 1 controlleddangeroussubstance, andglassjars containingcannabis. Detective Scroggins",Ambiguous,,,350
Entry-351-90,"Detectives located onthe lowershelfofthepedestal, containers containing cannabisresidue. Detective",Unknown,,,351
s,prepackaged cannabis as well as psychedelic candies. Detective Scroggins seizedthis items as Item #7. Page 4 351,Unknown,,,351
Entry-367-93,"Behind thefrontcounter, Detectives located largeamounts ofcannabis on the flooralong with adigital",Unknown,,,367
s,"Detectives begana systematic search ofthe store's cabinets for items containingTHC content, and items advertised asthosethatproducepsychedelic effects. Behind thefrontcounter, Detectives located largeamounts ofcannabis on the flooralong with adigital",Unknown,,,367
Entry-369-94,"Detectives located on the lowershelfofthepedestal, containers containing cannabis residue. Detective",Unknown,,,369
EV-25,"1 Multi-Color ""Curevana"" Container Containing Suspected Cannabis EV-25-1241",Ambiguous,,,390
Entry-391-97,"Cannabisthatwaspurchased fromBest in ChoiceGroceryInc., onTuesday,March181\2025, testedfor Tetrahydrocannabinol(THC) content. Page1 391",Unknown,,,391
EV-25,1 Three Pre-Rolled Suspected Cannabis Cigarettes EV-25-2827,Preroll,,,400
Entry-401-100,"Maryland, 21078 in hopes ofpurchasing marijuana and psylocibin (shrooms) from the business. Detective Testerman was working in an undercovercapacity and thepassengerofthe·covert vehicle, which was parked in the lot ofthe shoppingplaza. Assisting Detective Testerman with this controlled purchase was ",Unknown,,vehicle,401
Entry-401-99,"Cannabis Joints, Psilocybín Edible - 4 grams - $79.00 Type ofReport: (Initial, Supplement, Final) Address: 866 Ostego Street,Havre De Grace, Supplement Maryland, 21078 Assignment:",Edible,4.0,,401
Entry-409-102,• 2066.5 grams ofPre-rolled/ flowercannabis • 861.37 grams ofedibleTHC products • 1104gramsofpsylocibinmushrooms • 44 grams of waxTHCproducts • 105.2 gramsofcartridges containingTHC,Concentrate,2066.5,,409
Entry-409-103,• 861.37 grams ofedibleTHC products • 1104gramsofpsylocibinmushrooms • 44 grams of waxTHCproducts • 105.2 gramsofcartridges containingTHC • 50.76 grams ofeditbale THC products,Concentrate,861.37,,409
Entry-409-104,• 44 grams of waxTHCproducts • 105.2 gramsofcartridges containingTHC • 50.76 grams ofeditbale THC products • 3294.75 grams offlower cannabis • 876 grams ofTHC,Concentrate,44.0,,409
Entry-409-105,• 105.2 gramsofcartridges containingTHC • 50.76 grams ofeditbale THC products • 3294.75 grams offlower cannabis • 876 grams ofTHC Page2 CaseNumber: 2025-121190,Cartridge,50.76,,409
Entry-409-106,• 50.76 grams ofeditbale THC products • 3294.75 grams offlower cannabis • 876 grams ofTHC Page2 CaseNumber: 2025-121190 409,Unknown,50.76,,409
Entry-409-107,• 3294.75 grams offlower cannabis • 876 grams ofTHC Page2 CaseNumber: 2025-121190 409,Unknown,3294.75,,409
Entry-409-108,• 876 grams ofTHC Page2 CaseNumber: 2025-121190 409,Unknown,876.0,,409
sblue,4 BoxofTHC itemsblue packaging BehindCounter S1230 Det.Smith,Unknown,,,409
Entry-411-110,"4 1 Bagof variouswaxtypeTHC $200.00 E ?m, O Yes D Yes o No o No ApproximateWeight=28G 5 1 VariouscartridgescontainingTHC $200.00 E",Concentrate,28.0,,411
Entry-411-111,5 1 VariouscartridgescontainingTHC $200.00 E - ·J..--?:J. D Yes D Yes o No o No ApproximateWeight= 105.2G,Cartridge,105.2,,411
sofsuspectedcannabis,"1 1 Variousitemsofsuspectedcannabis/prerolledcannabiscigarettes $200.00 E 0 Yes 0 Yes ., - +'.-r - 1':::. - S O No o No ApproximateWeight=2066.5G",Preroll,2066.5,msofsuspectedcannabis,411
Entry-417-112,"1 Bag containing 3 prerolled cigarettes suspected Cannabis ;:).':}·??? 2 Bag containing suspected THC gummies 3 bag containing package of suspected Psilocybin gummies f_) -'.'J?? '9', 4 bag containing suspectedwax type THC '.J.'.-i--'w, ':}lt;",Concentrate,,,417
Entry-417-113,"2 Bag containing suspected THC gummies 3 bag containing package of suspected Psilocybin gummies f_) -'.'J?? '9', 4 bag containing suspectedwax type THC '.J.'.-i--'w, ':}lt; 5 bag containing suspected cannabis ?'""' '-'"" q,:x 1 IQ)J I",Concentrate,,,417
Entry-417-114,"4 bag containing suspectedwax type THC '.J.'.-i--'w, ':}lt; 5 bag containing suspected cannabis ?'""' '-'"" q,:x 1 IQ)J I",Concentrate,,,417
Entry-417-115,"5 bag containing suspected cannabis ?'""' '-'"" q,:x 1 IQ)J I",Ambiguous,,,417
Entry-426-117,• 2066.5 grams ofPre-rolled/flowercannabis • 861.37 grams ofedible THC products • 1104 grams ofpsylocibinmushrooms • 44 grams of waxTHC products,Concentrate,2066.5,,426
Entry-426-118,• 861.37 grams ofedible THC products • 1104 grams ofpsylocibinmushrooms • 44 grams of waxTHC products,Concentrate,861.37,,426
Entry-426-119,• 44 grams of waxTHC products,Concentrate,44.0,,426
Entry-426-121,• 50.76 grams ofeditbale THC products • 3294.75 grams offlowercannabis • 876 grams ofTHC Page 2 Case Number: 2025-121190 426,Unknown,50.76,,426
Entry-426-122,• 3294.75 grams offlowercannabis • 876 grams ofTHC Page 2 Case Number: 2025-121190 426,Unknown,3294.75,,426
Entry-426-123,• 876 grams ofTHC Page 2 Case Number: 2025-121190 426,Unknown,876.0,,426
l05,• l05.2 grams ofcartridges containing THC • 50.76 grams ofeditbale THC products • 3294.75 grams offlowercannabis • 876 grams ofTHC Page 2 Case Number: 2025-121190,Cartridge,2.0,,426
sblue,4 BoxofTHC itemsblue packaging Behind Counter S1230 Det. Smith,Unknown,,,426
