Entry_Number,Description,Classification,Weight_g,Store_Location,Page
Entry-25-12,03/18/25 Tobacco Town 3.5 Grams Cannabis 10.7% TotalTHC 03/18/25 Convenience City Inc. 17.5 Grams Cannabis 18.5% Total THC 04/03/25 Smoke StarInc. 7 GramsCannabis 22.7% Total THC 04/03/25 Smoke City 3.5 Grams Cannabis & 2 8.7% TotalTHC Pre-Rolled Cannabis,Preroll,3.5,,25
Entry-25-13,03/18/25 Convenience City Inc. 17.5 Grams Cannabis 18.5% Total THC 04/03/25 Smoke StarInc. 7 GramsCannabis 22.7% Total THC 04/03/25 Smoke City 3.5 Grams Cannabis & 2 8.7% TotalTHC Pre-Rolled Cannabis Cigarettes,Preroll,17.5,,25
Entry-25-14,04/03/25 Smoke StarInc. 7 GramsCannabis 22.7% Total THC 04/03/25 Smoke City 3.5 Grams Cannabis & 2 8.7% TotalTHC Pre-Rolled Cannabis Cigarettes,Preroll,3.5,,25
Entry-25-15,04/03/25 Smoke City 3.5 Grams Cannabis & 2 8.7% TotalTHC Pre-Rolled Cannabis Cigarettes,Preroll,3.5,,25
Entry-25-16,Pre-Rolled Cannabis Cigarettes,Preroll,,,25
Entry-25-17,Cigarettes,Preroll,,,25
Entry-25-18,"gradeCannabis. DetectiveArmigerfurtherconsultedwithAgentMangoldoftheATCCwho advisedthattheabove mentioned store frontswere not licenseddispensaries, thereforwouldonlybepermitted to sell hemp-derivedCBD and Delta-8 THC products, as well as Hemp derived products that contain less than 0.3% Delta-9 THC",Likely Cannabis,,frontswere not licenseddispens,25
Entry-25-19,"mentioned store frontswere not licenseddispensaries, thereforwouldonlybepermitted to sell hemp-derivedCBD and Delta-8 THC products, as well as Hemp derived products that contain less than 0.3% Delta-9 THC",Likely Cannabis,,frontswere not licenseddispens,25
Entry-25-20,"and Delta-8 THC products, as well as Hemp derived products that contain less than 0.3% Delta-9 THC",Likely Cannabis,,,25
Entry-25-21,"Cannabis products that were consistentwith the tested Cannabis from the initialpurchases. lt should also be noted that upon scanning some of the QR codes on the pre-rolled Cannabis cigarettes, they would direct the person scanning to a third-party tests' results page, which advertised a higher total",Preroll,,s,25
Entry-25-22,"that upon scanning some of the QR codes on the pre-rolled Cannabis cigarettes, they would direct the person scanning to a third-party tests' results page, which advertised a higher total THC content. This information was readilyavailable to theBabar's as they purchased inventory fortheirstores,knowi",Preroll,,s,25
Entry-25-9,"an undercover capacity to conduct undercover purchases ofCannabis from each location. These purchases were then transportedto theATCC, where they were fieldtestedbyAgentMangold Utilizing theLight Lab 3 Analyzer. Asa resultofthefieldtesting, Cannabis from each storetestedhigherthan the0.3% permittabl",Likely Cannabis,,testedhigherthan the0,25
s,as examples ofthetotal THC ofthepurchasesand pretesteditems. Date Store Purchase Test% 03/18/25 Tobacco Town 3.5 Grams Cannabis 10.7% TotalTHC 03/18/25 Convenience City Inc. 17.5 Grams Cannabis 18.5% Total THC 04/03/25 Smoke StarInc. 7 GramsCannabis 22.7% Total THC,Likely Cannabis,3.5,Purchase Test,25
Entry-71-23,"Thismeans thatbusinesses thatarenotcannabislicenseholders m?ynotsellùuoxicating cannabisproducts, to includeintoxicatinghemp-derivedproducts. This includes edibles, beverages,orother cannabisproducts intended forhumanconsumptionor inhalation thatcontain anytypeofTHCabo?thesúdutoryrestrictions. • Thi",Edible,,,71
Entry-71-24,"cannabisproducts, to includeintoxicatinghemp-derivedproducts. This includes edibles, beverages,orother cannabisproducts intended forhumanconsumptionor inhalation thatcontain anytypeofTHCabo?thesúdutoryrestrictions. • This includes: o Delta-8-THC, Delta-9-THC,andDelta-IO-THC, regardlessofhowderived;",Edible,,,71
Entry-71-25,"beverages,orother cannabisproducts intended forhumanconsumptionor inhalation thatcontain anytypeofTHCabo?thesúdutoryrestrictions. • This includes: o Delta-8-THC, Delta-9-THC,andDelta-IO-THC, regardlessofhowderived; o Anyothercannabinoid, exceptcannabidiol that theMCA determines to cause",Edible,,,71
Entry-71-26,"anytypeofTHCabo?thesúdutoryrestrictions. • This includes: o Delta-8-THC, Delta-9-THC,andDelta-IO-THC, regardlessofhowderived; o Anyothercannabinoid, exceptcannabidiol that theMCA determines to cause intoxication; and",Likely Cannabis,,,71
Entry-71-27,"o Delta-8-THC, Delta-9-THC,andDelta-IO-THC, regardlessofhowderived; o Anyothercannabinoid, exceptcannabidiol that theMCA determines to cause intoxication; and o Any otherchemicallysimilarcompound, substance, derivative, or isomerofTHC, as identified bythe MCA.",Likely Cannabis,,,71
Entry-71-28,"o Any otherchemicallysimilarcompound, substance, derivative, or isomerofTHC, as identified bythe MCA. • Additionally, products thatcontain non-naturallyoccurring cannabinoidsmaynotbesold in Maryland, regardless oflicensure. Accordingly, the ATCCdirectsall businessesthatare notMCAcannabis license hol",Likely Cannabis,,,71
Entry-71-29,"Accordingly, the ATCCdirectsall businessesthatare notMCAcannabis license holders but seD intoxicating cannabisproducts -to includehempderivedproducts -to REMOVE from theirshelvesproducts with a tobl THC concentration greater than 0.5 mgper serving,or2.5 mg ofTHC per package, as well as anyproducts t",Likely Cannabis,,,71
Entry-71-30,"but seD intoxicating cannabisproducts -to includehempderivedproducts -to REMOVE from theirshelvesproducts with a tobl THC concentration greater than 0.5 mgper serving,or2.5 mg ofTHC per package, as well as anyproducts thatcontain non-naturally occurring cannabinoids, such as tetrahydrocannabinol ace",Likely Cannabis,,,71
Entry-71-31,"from theirshelvesproducts with a tobl THC concentration greater than 0.5 mgper serving,or2.5 mg ofTHC per package, as well as anyproducts thatcontain non-naturally occurring cannabinoids, such as tetrahydrocannabinol acetate(fHC-0,ATHC,THC-X, Delta 8-0). • Retailers maystill sell:",Likely Cannabis,,,71
Entry-71-32,"serving,or2.5 mg ofTHC per package, as well as anyproducts thatcontain non-naturally occurring cannabinoids, such as tetrahydrocannabinol acetate(fHC-0,ATHC,THC-X, Delta 8-0). • Retailers maystill sell: o Hemp products not intended forhumanconsumptionorinhalation, such as",Likely Cannabis,,,71
Entry-71-33,"occurring cannabinoids, such as tetrahydrocannabinol acetate(fHC-0,ATHC,THC-X, Delta 8-0). • Retailers maystill sell: o Hemp products not intended forhumanconsumptionorinhalation, such as lotions, balms, salves, orpetCBDproducts.",Likely Cannabis,,,71
Entry-71-34,"o Hemp products not intended forhumanconsumptionorinhalation, such as lotions, balms, salves, orpetCBDproducts. o Productsintended forhumanconsumptionwithonlytrace amountsofTHC in a finishedproduct, such as CBD-dominantgummies oredibles that donothave morethan 0.5 milligrams(mg)ofTHCperserving or 2.",Edible,,,71
Entry-71-35,"o Productsintended forhumanconsumptionwithonlytrace amountsofTHC in a finishedproduct, such as CBD-dominantgummies oredibles that donothave morethan 0.5 milligrams(mg)ofTHCperserving or 2.5 mgofTHC per package. o Hemp-derived tincture maybesold withoutalicense ifthe product contains a",Edible,,,71
Entry-71-36,"finishedproduct, such as CBD-dominantgummies oredibles that donothave morethan 0.5 milligrams(mg)ofTHCperserving or 2.5 mgofTHC per package. o Hemp-derived tincture maybesold withoutalicense ifthe product contains a CBO:THC ratio that isatleast 15:l orgreater, e.g. aproductwith2mgofTHC",Edible,,,71
Entry-71-37,"morethan 0.5 milligrams(mg)ofTHCperserving or 2.5 mgofTHC per package. o Hemp-derived tincture maybesold withoutalicense ifthe product contains a CBO:THC ratio that isatleast 15:l orgreater, e.g. aproductwith2mgofTHC musthave over30 mgofCBD; isdispensed in a containerthat issmallerthan 4",Edible,,,71
Entry-71-38,"o Hemp-derived tincture maybesold withoutalicense ifthe product contains a CBO:THC ratio that isatleast 15:l orgreater, e.g. aproductwith2mgofTHC musthave over30 mgofCBD; isdispensed in a containerthat issmallerthan 4 ounces, withadropperlid; isonly dissolved in oneofthree solvents(alcohol,",Edible,,,71
Entry-71-39,"CBO:THC ratio that isatleast 15:l orgreater, e.g. aproductwith2mgofTHC musthave over30 mgofCBD; isdispensed in a containerthat issmallerthan 4 ounces, withadropperlid; isonly dissolved in oneofthree solvents(alcohol,",Likely Cannabis,,,71
Entry-71-41,"ofbusinesses to identify unlicensedcannabisoperators byinspectingproducts,displayed forsale Advisory#24-002 PageZ issuedDate: July 19,2023 071",Likely Cannabis,,,71
l00,"glycerin, orvegetable oil); andcontains nomorethan l00 milligrams ofTHCper package. • Note: These products mustcomplywith MCA testingand labeling standards. To enforcethe provisions oftheCRA,theATCCwillconductproactivecompliance inspections",Concentrate,,,71
Entry-72-42,"tocustomers,during business hours. Ifintoxicatingcannabisproducts, to include intoxicating hempproducts, areobserved, FEDagentswillconduct furtherinvestigationto determineifthe businesssellingordistributing such products islicensedbytheMCA. Uponconfirmation that thebusiness is notlicensedto sell int",Likely Cannabis,,,72
Entry-72-43,"hempproducts, areobserved, FEDagentswillconduct furtherinvestigationto determineifthe businesssellingordistributing such products islicensedbytheMCA. Uponconfirmation that thebusiness is notlicensedto sell intoxicatingcannabis products, to include intoxicatinghemp derivedproducts,FEDagentswilltake t",Likely Cannabis,,,72
Entry-72-44,"thebusiness is notlicensedto sell intoxicatingcannabis products, to include intoxicatinghemp derivedproducts,FEDagentswilltake the necessary stepstoenforcethe lawagainstbusinesses andindividuals that sellordistributesuchproducts in violation ofthe ABCA. Businessesthatare not MCAcannabis licenseholde",Likely Cannabis,,,72
Entry-72-45,"Businessesthatare not MCAcannabis licenseholders butsell intoxicatingcannabis products, to includehempderivedproducts,afterJuly I, 2023, subjectthemselvestopotential criminal charges andfinespursuantto ABCA§ 36-1102: o A personwho sellsaproductwitha THCconcentration higherthan 0.5 mg per serving or ",Likely Cannabis,,,72
Entry-72-46,"includehempderivedproducts,afterJuly I, 2023, subjectthemselvestopotential criminal charges andfinespursuantto ABCA§ 36-1102: o A personwho sellsaproductwitha THCconcentration higherthan 0.5 mg per serving or 2.5 mg perpackage isguiltyofa misdemeanorandwill be subjectto a fineof up to $5,000.",Likely Cannabis,,,72
Entry-72-47,"o A personwho sellsaproductwitha THCconcentration higherthan 0.5 mg per serving or 2.5 mg perpackage isguiltyofa misdemeanorandwill be subjectto a fineof up to $5,000. o Aperson who sells any productthat contains non-naturallyoccurring cannabinoids is guiltyofamisdemeanor andwill besubject to a fine",Likely Cannabis,,,72
Entry-72-48,"distributing intoxicating cannabisproducts, lo includeintoxicating hemp derived products. These intoxicating cannabis products, includingintoxicatinghempderivedproducts,mustbe removed ordestroyedand maynotbesold. PleaseseeAttachmentA,enclosedwiththis Advisory, which provides examples ofthe typesofpr",Likely Cannabis,,,72
Entry-72-49,"These intoxicating cannabis products, includingintoxicatinghempderivedproducts,mustbe removed ordestroyedand maynotbesold. PleaseseeAttachmentA,enclosedwiththis Advisory, which provides examples ofthe typesofproducts thatare no longerpermitted to be sold without anMCA issuedcannabislicense. Business",Likely Cannabis,,,72
Entry-72-50,"sold without anMCA issuedcannabislicense. Businesses thatare notMCAcannabislicense holders,butcurrentlysell intoxicating cannabisproducts, to include hemp derivedproducts, should review their inventory to identify theseproducts forremoval. Moreinformationabout MCA, including the process to obtain al",Likely Cannabis,,,72
Entry-73-51,"Maryland Alcohol,Tobacco,andCannabisCommissionContacts *Please notethis is newcontact information effectiveJuly I, 2023* • General Information:443-300--6990 o Alcohol&Tobacco Licensing: 410-260-7314 or dlfü·.:-1\.-1Î11g atc(.{t'l)nli\f)'lnnd,gov Alllicensingand renewal inquiries,application",Likely Cannabis,,,73
Entry-73-52,"o Inquiriesregardinga.liAlcoholic BeverageTradePractices. • PlannedPromotionSubmissions orInquiries: !,.llt>lannodP-ro1nc}I_ÏQ!1S at?·Cálman,-1:mtl.guv o WholesalerPromotional ActivitiesFormsubmission,Sweepstakes andContestsapprovals, Wholesalermonthly tastings submissions, Coupons, Packageapprovals",Edible,,,73
Entry-73-53,• MarylandCannabisAdministration:informa1i1m.mmcc{£1!111arylar1d.gov o Contacts: !ll!Py/ttmll'C.mnr_ylnnru;ov/Png_cs/contact-r1s3.aspx • Legal& LegislativeDivision:ùllld-tmlil?cn--:e<ka1umbi:- :1tc-c(!!LJnoJvland.gov o Questionsaboutthecannabisenforcementprocess. • field EnforcementDivision: dlte<J.,Likely Cannabis,,,73
Entry-178-54,"""Flower"" and""CBD/Delta""(detailedin thebelowpicture)comprisesthebulkofsalesforeach ofthe stores. ------1 - - ,·-;----=",Likely Cannabis,,s,178
Entry-179-55,"accounts,listedtoHARFORD BANK,inan acc - oun I ?eldjointlyorindividuallyinthoname of ZAHEER BABAR1 D,0,8. 1/1/1973, SS# AMANDEEP BABAR, D.O.B. SS#-I 7/31/1984, ALL IN ONE FOOD MART, INC. I SMOKE STAR, INC. I TOBACCO TOWN, INC. I BEST CHOICE GROCERY, INC. I SMOKE CITY, INC. I",Preroll,,,179
Entry-238-56,"Endorsements: Cigarette SpecialCigarette OTP ls1!"" Restaurant o Chain D Other o AlcoholCompliance LiquorLicense#: Class/Type: .=.,;;=---==-_..;;..;c...- .=c...-- Llcensee(s): ------------------------------------------- Records: Yes o No o Current: Yes O No O Accessible: Yes O No O Orderly: Yes o No ",Preroll,,,238
Entry-238-57,"Cigarette?upplier. ')7c/.lJ;r í Al) .:¡(<_ / ¡(!r,._/,,i< T l o v baccoC D o e m liv p e l r i y a D n a c t e e: /21 MDStamps: Yesfui No O __..¡.........:<...:.....:.-.L...-- Sa.lesBelowCost: Yes O No O N/A O lnvolc7Available: Yes?- No o t<,,l:_',' OTP Supplier/' J:&L ,-/\L JqQ,/ DeliveryDate: l;::",Preroll,,,238
Entry-239-58,Cannabis/THC O •I ? - Business Info -=-- ----- ----c....: -- e - - - Date: [ Time: County:,Likely Cannabis,,,239
Entry-239-59,"Cigarette JZJ Special Cigarette .IZI OTP.J:J OtherD Alcohol Compliance . LiquorLic. # Class/Type/ ., ,,,. Liquor Licensee(s) N,., /'Í\",Preroll,,,239
Entry-239-60,"Cigarette Supplier: (, Delivery Date: MD Stamps Yes IZf No O (,( 't, ' \ I-, ??t .,,_._ V .. OTP Supplier: j f Delivery Date: OTP Tax Paid Yes IZJ No O (., '\-\ 'i \ J 11I",Preroll,,,239
Entry-242-61,"This means thatbusinesses that are not cannabis license holders may notsell intoxicating cannabisproducts, to include intoxicatinghemp-derivedproducts. This includes edibles, beverages, or other cannabisproducts intended for human consumption or inhalation thatcontain any typeofTHCabovethestatutory ",Edible,,,242
Entry-242-62,"cannabisproducts, to include intoxicatinghemp-derivedproducts. This includes edibles, beverages, or other cannabisproducts intended for human consumption or inhalation thatcontain any typeofTHCabovethestatutory restrictions. • This includes: o Delta-8-THC, Delta-9-THC, andDelta-IO-THC, regardless of",Edible,,,242
Entry-242-63,"beverages, or other cannabisproducts intended for human consumption or inhalation thatcontain any typeofTHCabovethestatutory restrictions. • This includes: o Delta-8-THC, Delta-9-THC, andDelta-IO-THC, regardless ofhow derived; o Any other cannabinoid, exceptcannabidiol thattheMCA determines to cause",Edible,,,242
Entry-242-64,"any typeofTHCabovethestatutory restrictions. • This includes: o Delta-8-THC, Delta-9-THC, andDelta-IO-THC, regardless ofhow derived; o Any other cannabinoid, exceptcannabidiol thattheMCA determines to cause intoxication; and",Likely Cannabis,,,242
Entry-242-65,"o Delta-8-THC, Delta-9-THC, andDelta-IO-THC, regardless ofhow derived; o Any other cannabinoid, exceptcannabidiol thattheMCA determines to cause intoxication; and o Any other chemically similarcompound, substance, derivative, or isomerofTHC, as identified by theMCA.",Likely Cannabis,,,242
Entry-242-66,"o Any other chemically similarcompound, substance, derivative, or isomerofTHC, as identified by theMCA. • Additionally, products that contain non-naturally occurring cannabinoids may not besold in Maryland, regardless oflicensure. Accordingly, the ATCC directs all businesses that are not MCA cannabi",Likely Cannabis,,,242
Entry-242-67,"Accordingly, the ATCC directs all businesses that are not MCA cannabis license holders butselJ intoxicating cannabis products - to include hemp derived products - to REMOVE from their shelvesproducts with a total THC concentration greater than 0.5 mg per serving, or 2.5 mg ofTHC per package, as well",Likely Cannabis,,,242
Entry-242-68,"butselJ intoxicating cannabis products - to include hemp derived products - to REMOVE from their shelvesproducts with a total THC concentration greater than 0.5 mg per serving, or 2.5 mg ofTHC per package, as well as any products thatcontain non-naturally occurring cannabinoids, such as tetrahydroca",Likely Cannabis,,,242
Entry-242-69,"from their shelvesproducts with a total THC concentration greater than 0.5 mg per serving, or 2.5 mg ofTHC per package, as well as any products thatcontain non-naturally occurring cannabinoids, such as tetrahydrocannabinol acetate (THC-O, ATHC, THC-X, Delta 8-0). • Retaílers may still sell:",Likely Cannabis,,,242
Entry-242-70,"serving, or 2.5 mg ofTHC per package, as well as any products thatcontain non-naturally occurring cannabinoids, such as tetrahydrocannabinol acetate (THC-O, ATHC, THC-X, Delta 8-0). • Retaílers may still sell: o Hempproducts not intended forhuman consumption or inhalation, suchas",Likely Cannabis,,,242
Entry-242-71,"occurring cannabinoids, such as tetrahydrocannabinol acetate (THC-O, ATHC, THC-X, Delta 8-0). • Retaílers may still sell: o Hempproducts not intended forhuman consumption or inhalation, suchas lotions, balms, salves, or petCBD products.",Likely Cannabis,,,242
Entry-242-72,"o Hempproducts not intended forhuman consumption or inhalation, suchas lotions, balms, salves, or petCBD products. o Products intended forhuman consumption withonly trace amounts ofTHC in a finished product, suchas CBD-dominant gummiesor edibles that do not have more than 0.5 milligrams (mg) ofTHC p",Edible,,,242
Entry-242-73,"o Products intended forhuman consumption withonly trace amounts ofTHC in a finished product, suchas CBD-dominant gummiesor edibles that do not have more than 0.5 milligrams (mg) ofTHC per serving or 2.5 mgofTHCper package. o Hemp-derived tincture may be sold without a license iftheproduct contains a",Edible,,,242
Entry-242-74,"finished product, suchas CBD-dominant gummiesor edibles that do not have more than 0.5 milligrams (mg) ofTHC per serving or 2.5 mgofTHCper package. o Hemp-derived tincture may be sold without a license iftheproduct contains a CBD:THC ratio that is atleast 15:l or greater, e.g. a product with 2 mg of",Edible,,,242
Entry-242-75,"more than 0.5 milligrams (mg) ofTHC per serving or 2.5 mgofTHCper package. o Hemp-derived tincture may be sold without a license iftheproduct contains a CBD:THC ratio that is atleast 15:l or greater, e.g. a product with 2 mg ofTHC musthave over30 mg ofCBD; is dispensed in acontainer that is smaller ",Edible,,,242
Entry-242-76,"o Hemp-derived tincture may be sold without a license iftheproduct contains a CBD:THC ratio that is atleast 15:l or greater, e.g. a product with 2 mg ofTHC musthave over30 mg ofCBD; is dispensed in acontainer that is smaller than 4 ounces, with a dropperlid; is only dissolved in one ofthree solvents",Concentrate,,,242
Entry-242-77,"CBD:THC ratio that is atleast 15:l or greater, e.g. a product with 2 mg ofTHC musthave over30 mg ofCBD; is dispensed in acontainer that is smaller than 4 ounces, with a dropperlid; is only dissolved in one ofthree solvents (alcohol, glycerin, or vegetable oil); and contains no more than 100 milligra",Concentrate,,,242
Entry-242-78,"glycerin, or vegetable oil); and contains no more than 100 milligrams ofTHCper package. • Note: These products must comply with MCA testing and labeling standards. To enforce theprovisions ofthe CRA, theATCCwill conductproactive complianceinspections",Concentrate,,,242
Entry-242-79,"ofbusinesses to identify unlicensed cannabis operators by inspectingproducts, displayed forsale Advisory #24-002 Page2 Issued Date: July 19,2023 242",Likely Cannabis,,,242
Entry-243-80,"to customers, during business hours. Ifintoxicating cannabis products, to include intoxicating hempproducts, are observed, FED agents will conduct furtherinvestigation to determine ifthe business sellingor distributing suchproducts is licensed bytheMCA. Upon confirmation that the business is not lic",Likely Cannabis,,,243
Entry-243-81,"hempproducts, are observed, FED agents will conduct furtherinvestigation to determine ifthe business sellingor distributing suchproducts is licensed bytheMCA. Upon confirmation that the business is not licensed to sell intoxicatingcannabis products, to include intoxicating hemp derivedproducts, FED ",Likely Cannabis,,,243
Entry-243-82,"the business is not licensed to sell intoxicatingcannabis products, to include intoxicating hemp derivedproducts, FED agentswill take the necessary steps to enforce the law againstbusinesses and individuals that sell or distribute such products in violationofthe ABCA. Businesses thatare not MCA cann",Likely Cannabis,,,243
Entry-243-83,"Businesses thatare not MCA cannabis licenseholders but sell intoxicating cannabis products, to include hempderived products, afterJuly 1, 2023, subjectthemselves to potential criminal charges andfines pursuant to ABCA § 36-1102: o Aperson who sells aproduct with aTHC concentration higherthan 0.5 mg ",Likely Cannabis,,,243
Entry-243-84,"include hempderived products, afterJuly 1, 2023, subjectthemselves to potential criminal charges andfines pursuant to ABCA § 36-1102: o Aperson who sells aproduct with aTHC concentration higherthan 0.5 mg per serving or 2.5 mg perpackage is guilty ofa misdemeanor and will be subject to a fine of upt",Likely Cannabis,,,243
Entry-243-85,"o Aperson who sells aproduct with aTHC concentration higherthan 0.5 mg per serving or 2.5 mg perpackage is guilty ofa misdemeanor and will be subject to a fine of upto $5,000. o A person who sells anyproduct that contains non-naturally occurring cannabinoids is guilty ofa misdemeanor and will be sub",Likely Cannabis,,,243
Entry-243-86,"distributing intoxicating cannabisproducts, to include intoxicating hemp derived products. These intoxicatingcannabis products, including intoxicating hemp derived products, must be removed or destroyed and may not besold. Please see Attachment A, enclosedwith this Advisory, whichprovides examples o",Likely Cannabis,,,243
Entry-243-87,"These intoxicatingcannabis products, including intoxicating hemp derived products, must be removed or destroyed and may not besold. Please see Attachment A, enclosedwith this Advisory, whichprovides examples ofthetypes ofproducts that are no longerpermittedto be sold without an MCA issued cannabis l",Likely Cannabis,,,243
Entry-243-88,"sold without an MCA issued cannabis license. Businesses that are notMCA cannabis license holders, but currently sell intoxicating cannabisproducts, to include hemp derived products, should review their inventory to identify theseproducts forremoval. More informationabout MCA, including the process t",Likely Cannabis,,,243
Entry-243-89,"holders, but currently sell intoxicating cannabisproducts, to include hemp derived products, should review their inventory to identify theseproducts forremoval. More informationabout MCA, including the process to obtain a license and theproduct testing procedures may be found athllps://mmcc.marylamJ",Likely Cannabis,,,243
Entry-243-90,"Division, at dllld-unlicensedcannabis atcc(@.maryland.gov ifyou have any questions aboutthis Advisory or the enforcementprocess. ffyou have any information about businesses continuing to display and sell prohibited products, it should bedirected to our FieldEnforcement Division at dJfed !!.uliçeosed",Likely Cannabis,,,243
Entry-243-91,"!!.uliçeosedcannabisJtcc@mª1:YlanrjgQy . Advisory#24-002 ., - .? Page3 Issued Date: July 19, 2023 ? .... 243",Likely Cannabis,,,243
Entry-244-92,"Maryland Alcohol,Tobacco, and Cannabis Commission Contacts *Please note this is new contact information effectiveJuly 1, 2023* • General Information: 443-300-6990 o Alcohol & Tobacco Licensing: 410-260-7314 or dllicensing atcc@maryland.gov Alllicensingandrenewal inquiries, application",Likely Cannabis,,,244
Entry-244-93,"o Inquiries regarding all Alcoholic BeverageTradePractices. • Planned Promotion Submissions or fnquiries: 41P-lannedpromotions ª_tcc@maryland.gov o Wholesaler Promotional ActivitiesFormsubmission, Sweepstakes and Contests approvals,Wholesalermonthly tastings submissions, Coupons, Package approvals, ",Edible,,,244
Entry-244-94,"• MarylandCannabis Administration: infonnation.mmcc@maryland.goy o Contacts: https;//mmcc.1111uyland.gov/Pages/contact-L1s3.aspx, • Legal & Legislative Division: dllld-unlicensedcannabis aLcc@maryland.gov o Questionsabout the cannabis enforcement process. • Field EnforcementDivision: dlfed-unlicensc",Likely Cannabis,,,244
Entry-244-95,• Legal & Legislative Division: dllld-unlicensedcannabis aLcc@maryland.gov o Questionsabout the cannabis enforcement process. • Field EnforcementDivision: dlfed-unlicenscdcannabis atcc@maryland.gov o 1fyouhave informationabout businesses continuing to displayandsell prohibitedproducts.,Likely Cannabis,,,244
Entry-262-96,"o The property identified in this Notice was confiscated under the provisions of the Alcoholic Beverages Article, Section 6-101 of the Annotated Code of Maryland. If you desire a return of the property, you must file a claim against the Comptroller in the Circuit Court where the seizure occurred wit",Edible,,,262
Entry-263-97,"Endorsements: Cigarette 9' SpecialCigarette f3;t? OTP ? Restaurant o Chain ? Other o AlcoholCompliance /4 ""1 LiquorLicense#: ClassfType: _",Preroll,,,263
Entry-263-98,"CigaretteSupplíer: e:::;... ?( --r¡.. [7 DeliveryDate: /¿1 l.o . L ? MOStamps: Yes? No O SalesBelowCost: Yes O No 'W NIA O InvoicesAvailable: Yesr¡¡!) No O OTPSupplieri __;;G_=_..,_f..,_:l'_,_(_-_..,_£:--'Ï=¿_=------ DeliveryDate: !7.. C:::,. -Z..3 OTPTaxPald: Yes'<;a No O _ OTPSupplier/RetailerLice",Preroll,,,263
Entry-264-99,"o The property identified in this Notice was confiscated under the provisions of the Alcoholic Beverages Article, Section 6-101 of the Annotated Code of Maryland. If you desire a return of the property, you must file a claim againstthe Comptroller in the Circuit Court wherethe seizure occurred withi",Edible,,,264
Entry-265-100,"Endorsements: Cigarette J;z( SpecialCigarette J¡j OTP,Ill Restaurant O Chain ,.0 Other o _/ _,,,.. LiquorLicense#: Records: Yes o No o Current Accessible: Yes O No O Orderly: Yes o No o",Preroll,,,265
Entry-265-101,"CigaretteSupplier: Ge or(\r J"""" te.. I te t DeliveryDate:..:.1..:..1__,_·¡___,.,..,...)""------ MDStamps: Yes,.0' / No O ...) . SalesBelowCost: Yes o No o NIA O InvoicesAvailable: Yeso No o 01'.PSupplier: ? r p' e e 'vJ,, r (' h.-1,?, DeliveryDate:'-'-'_l-'--_..!.,_?_,_J OTPTaxPaid: YesO 111.0--6",Preroll,,,265
Entry-266-102,"Alcohol, Tobacco, and Cannabis Commission 12/15/2023 BestChoiceGrocery Inc 866 Otsego St.",Likely Cannabis,,,266
Entry-266-103,"Alcohol,Tobacco, and CannabisCommission",Likely Cannabis,,,266
