Entry_Number,Description,Category,Weight_g,Location,Page
Entry-203-376,prohibits anyone without a Cannabis license from distributing a product intended for human,Flower,,,203
Entry-203-377,consumptionorinhalationthatcontainsmorethan2.5milJigramsofTctrahydrocannabinol(THC),Unknown,,,203
Entry-203-378,undercovercapacitypurchased various quantities ofCannabis from each ofthe retail businesses.,Flower,,,203
Entry-203-379,"• 03/18/25, 3.5 Grams Cannabis& 3 Pre-Rolled CannabisCigarettes",Flower,3.5,,203
Entry-203-380,"• 05/14/25,3.5 GramsCannabis",Flower,,,203
Entry-204-381,"• 03/18/25,3.5Grams Cannabis",Flower,3.5,,204
Entry-204-382,"• 05/14/25,3 Pre-Rolled CannabisCigarettes",Flower,,,204
Entry-204-383,"• 03/18/25, 17.5 Grams Cannabis",Flower,17.5,,204
Entry-204-384,"• 5/21/25,6 Pre-RolledCannabis Cigarettes",Flower,,,204
Entry-204-385,"• 04/03/25, 3.5Grams Cannabis& 2 Pre-Rolled Cannabis Cigarettes",Flower,3.5,,204
Entry-204-386,"• 05/14/25, 3 Pre-Rolled2 GramBlunts",Preroll,,,204
Entry-204-387,"• 04/03/25, 7Grams Cannabis",Flower,7.0,,204
Entry-204-388,"• 05/14/25, 3.5Grams Cannabis",Flower,3.5,,204
Entry-204-389,"• 04/03/25, 2 Grams Cannabis & 2 Pre-RolledCannabis Cigarettes",Flower,2.0,,204
Entry-204-390,"• 05/14/25,2 GramsCannabis & 3 Pre-Rolled Cannabis Cigarettes",Flower,,,204
Entry-204-391,• 05/15/25 3.5 GramsCannabis,Flower,,,204
Entry-204-392,"• 3/18/25,3.5 GramsCannabis",Flower,,,204
Entry-204-393,"• 05/14/25,3.S Grams Cannabis",Flower,,,204
Entry-205-394,DuringthesubsequentpurchasesdetectivesobservedCannabisstillon display for purchasethat,Flower,,,205
Entry-205-395,was consistent with the tested Cannabis from the initial purchases. Detectives also observed,Flower,,,205
Entry-205-396,rolled styleCannabis cigarettes as well.,Flower,,,205
Entry-205-397,Cannabis dispensary license.,Flower,,,205
Entry-205-398,lnadditiontoarrestsforcontrolleddangeroussubstancesandresponsestocallsforservicerelated,Preroll,,,205
Entry-205-399,"possession and possession with intenttodistributemarijuana, cocaine, methamphetamine, fentanyl, and",Flower,,,205
Entry-206-400,"relatedto narcotics investigationswhichhaveresultedintheseizureofcontrolleddangeroussubstances,",Preroll,,,206
Entry-206-401,"Cocaine, Psílocybin, MDMA,and various prescriptionpills.",Edible,,,206
Entry-206-402,"sale, and distribution ofcontrolleddangerous substances.",Preroll,,,206
Entry-206-403,"ofcontrolled dangerous substances violations, your affiant has found that persons involved in the use.",Preroll,,,206
Entry-206-404,"manufacturing, and distribution ofcontrolled dangerous substances are often involved in the use and",Preroll,,,206
Entry-206-405,"distributionofothercontrolleddangeroussubstances whichisaregenerativeactivity, thatisaportionof",Preroll,,,206
Entry-206-406,theproceeds from thesaleofcontrolleddangerous substances is used to buy more forresale.,Preroll,,,206
Entry-206-407,Your affiant has also participated and completed controlled purchases forcontrolled dangerous,Preroll,,,206
Entry-206-408,"knowledge, and experience. the controlled purchases from the above referenced retail & tobacco",Preroll,,,206
Entry-207-409,shopsofsuspectedCannabisthattestedoverthelegallimitforTHCthatisallowableforatobacco,Flower,,,207
Entry-207-410,"theintenttodistributeand/orpossessionofcontrolleddangeroussubstances,ashereinbeforecited,",Preroll,,,207
Entry-207-411,"controlled dangerous substances violations, found in or upon said premises and person(s) in close",Preroll,,,207
Entry-208-413,violationsofthe controlleddangerous substances laws;,Preroll,,,208
Entry-209-414,"Distribution, Possessionwith Intentto Distribute,and PossessionofaControlledDangerousSubstances",Preroll,,,209
Entry-209-415,"Controlled Dangerous Substances, including narcotics, hallucinogens, and other dangerous drugs are",Preroll,,,209
Entry-210-416,"operation of controlled dangerous substances violations, found in or upon said premises and",Preroll,,,210
Entry-210-417,"person(s) in close proximity to contraband, controlled dangerous substances or controlled",Preroll,,,210
Entry-210-418,controlleddangerous substanceviolations andansweringmachine andansweringmachinetapes;,Preroll,,,210
Entry-210-419,from violationsofthecontrolleddangerous substances laws;,Preroll,,,210
Entry-211-420,"Distribution,Possessionwith Intent to Distribute, and PossessionofaControlled DangerousSubstances",Preroll,,,211
Entry-211-421,"Controlled Dangerous Substances, including narcotics, hallucinogens, and other dangerous drugs are",Preroll,,,211
Entry-212-422,"operation of controlled dangerous substances violations, found in or upon said premises and",Preroll,,,212
Entry-212-423,person(s) in close proximity to contraband. controlled dangerous substances or controlled,Preroll,,,212
Entry-212-424,controlled dangeroussubstanceviolations and answeringmachineandansweringmachinetapes;,Preroll,,,212
Entry-212-425,from violationsofthecontrolleddangeroussubstances laws;,Preroll,,,212
Entry-213-426,"Distribution, PossessionwithIntentto Distribute,andPossessionofaControlled DangerousSubstances",Preroll,,,213
Entry-213-427,"Controlled Dangerous Substances, including narcotics, hallucinogens, and other dangerous drugs are",Preroll,,,213
Entry-214-428,"operation of controlled dangerous substances violations, found in or upon said premises and",Preroll,,,214
Entry-214-429,"person(s) in close proximity to contraband, controlled dangerous substances or controlled",Preroll,,,214
Entry-214-430,controlled dangeroussubstance violationsand answeringmachine and answeringmachinetapes;,Preroll,,,214
Entry-214-431,from violations ofthecontrolled dangerous substances laws;,Preroll,,,214
Entry-215-432,"Distribution, PossessionwithIntentto Distribute,and PossessionofaControlled DangerousSubstances",Preroll,,,215
Entry-215-433,"Controlled Dangerous Substances, including narcotics, hallucinogens, and other dangerous drugs are",Preroll,,,215
Entry-216-434,"operation of controlled dangerous substances violations, found in or upon said premises and",Preroll,,,216
Entry-216-435,person(s) in close proximity to contraband. controlled dangerous substances or controlled,Preroll,,,216
Entry-216-436,controlleddangerous substanceviolationsand answeringmachineand answeringmachinetapes;,Preroll,,,216
Entry-216-437,from violationsofthecontrolled dangeroussubstances laws;,Preroll,,,216
Entry-217-438,"Distribution, Possessionwith IntenttoDistribute, and PossessionofaControlled DangerousSubstances",Preroll,,,217
Entry-217-439,"Controlled Dangerous Substances, including narcotics, hallucinogens, and other dangerous drugs are",Preroll,,,217
Entry-218-440,"operation of controlled dangerous substances violations, found in or upon said premises and",Preroll,,,218
Entry-218-441,"pcrson(s) in close proximity to contraband, controlled dangerous substances or controlled",Preroll,,,218
Entry-218-442,controlleddangeroussubstanceviolationsand answeringmachineand answeringmachinetapes;,Preroll,,,218
Entry-218-443,from violationsofthecontrolled dangeroussubstances laws;,Preroll,,,218
Entry-219-444,"Distribution, Possessionwith Intentto Distribute,and PossessionofaControlledDangerousSubstances",Preroll,,,219
Entry-219-445,"Controlled Dangerous Substances, including narcotics, hallucinogens, and other dangerous drugs are",Preroll,,,219
Entry-220-446,"operation of controlled dangerous substances violations, found in or upon said premises and",Preroll,,,220
Entry-220-447,"person(s) in close proximity to contraband, controlled dangerous substances or controlled",Preroll,,,220
Entry-220-448,controlleddangeroussubstanceviolationsandanswering machine andansweringmachinetapes:,Preroll,,,220
Entry-220-449,from violationsofthecontrolled dangeroussubstances laws;,Preroll,,,220
Entry-221-450,"Distribution, Possessionwith Intentto Distribute, and PossessionofaControlled DangerousSubstances",Preroll,,,221
Entry-221-451,"Controlled Dangerous Substances, including narcotics, hallucinogens, and other dangerous drugs are",Preroll,,,221
Entry-222-452,"operation of controlled dangerous substances violations, found in or upon said premises and",Preroll,,,222
Entry-222-453,"person(s) in close proximity to contraband, controlled dangerous substances or controlled",Preroll,,,222
Entry-222-454,controlled dangeroussubstance violations and answeringmachineand answeringmachinetapes;,Preroll,,,222
Entry-222-455,from violationsofthecontrolleddangerous substances laws;,Preroll,,,222
Entry-238-456,"Endorsements: Cigarette SpecialCigarette OTP ls1!"" Restaurant o Chain D Other o",Preroll,,,238
Entry-238-457,"Cigarette?upplier. ')7c/.lJ;r í Al) .:¡(<_ / ¡(!r,._/,,i< T l o v baccoC D o e m liv p e l r i y a D n a c t e e: /21 MDStamps: Yesfui No O",Preroll,,,238
Entry-239-458,Cannabis/THC O,Flower,,,239
Entry-239-459,Cigarette JZJ Special Cigarette .IZI OTP.J:J OtherD,Preroll,,,239
Entry-239-460,"Cigarette Supplier: (, Delivery Date: MD Stamps Yes IZf No O",Preroll,,,239
Entry-240-461,"ALCOHOL,TOBACCO.ANDCANNABISCOMMlSSION",Flower,,,240
Entry-240-462,CannabisfTHC Er,Flower,,,240
Entry-240-463,"Cigarette ill----- Special Cigarette c:r"" OTP[] Other[!}--·",Preroll,,,240
Entry-240-464,"Cigarette Supplie?: ""f' - JI Delivery Date: ,-) ;··/:>{ MD Stamps Yes Q No O",Preroll,,,240
Entry-241-465,AND CANNABIS COMMISSION,Flower,,,241
Entry-241-466,"*** Effective July 1, 2023, only Maryland Cannabis Administration cannabis",Flower,,,241
Entry-241-467,"license holders may sell or distribute intoxicating cannabis products, to",Flower,,,241
Entry-241-468,"intoxicating cannabis products, to include intoxicating hemp derived products",Flower,,,241
Entry-241-469,by businesses that are not Maryland Cannabis Administration cannabis,Flower,,,241
Entry-241-470,"On May 3, 2023, GovernorWesMoore signed into law the Cannabis Reform Act (Chapter",Flower,,,241
Entry-241-472,"Reform Act(""CRA"") created theMaryland Cannabis Administration (""MCA"") as the",Flower,,,241
Entry-241-473,pertaining to Maryland's medical and adult-use cannabis industry.1,Flower,,,241
Entry-241-474,"While theMCA is tasked with overseeing thelicensedcannabis market, theAlcohol, Tobacco,",Flower,,,241
Entry-241-475,"and Cannabis Commission (""ATCC"")-formerly, theAlcohol and Tobacco Commission is",Flower,,,241
Entry-241-476,"tasked with enforcing state lawspertainingto the unlicensedcannabismarket. Specifically, the",Flower,,,241
Entry-241-477,"Alcoholic Beverages and Cannabis Article's (""ABCA"")provisions concerning theunlawful",Flower,,,241
Entry-241-478,"importation, manufacture, transportation, distribution, and sale ofunlicensed cannabisproducts.",Flower,,,241
Entry-241-479,"Under law, the MCA has the sole authority to issue licenses to cannabis businesses within the",Flower,,,241
Entry-241-480,State ofMaryland. Only an MCAcannabis license holdermay sell or distribute cannabis,Flower,,,241
Entry-241-481,"oftotaltetrahydrocannabinol (""THC'') contentperserving or2.5milligrams ofTHCper",Unknown,,,241
of2023,"254/255 of2023), which established the adult-userecreational cannabis market. TheCannabis",Flower,,,241
Entry-242-482,This means thatbusinesses that are not cannabis license holders may notsell intoxicating,Flower,,,242
Entry-242-483,"cannabisproducts, to include intoxicatinghemp-derivedproducts. This includes edibles,",Flower,,,242
Entry-242-484,"beverages, or other cannabisproducts intended for human consumption or inhalation thatcontain",Flower,,,242
Entry-242-485,any typeofTHCabovethestatutory restrictions.,Flower,,,242
Entry-242-486,"o Delta-8-THC, Delta-9-THC, andDelta-IO-THC, regardless ofhow derived;",Unknown,,,242
Entry-242-487,"o Any other chemically similarcompound, substance, derivative, or isomerofTHC,",Ambiguous,,,242
Entry-242-488,"Accordingly, the ATCC directs all businesses that are not MCA cannabis license holders",Flower,,,242
Entry-242-489,butselJ intoxicating cannabis products - to include hemp derived products - to REMOVE,Flower,,,242
Entry-242-490,from their shelvesproducts with a total THC concentration greater than 0.5 mg per,Unknown,,,242
Entry-242-491,"occurring cannabinoids, such as tetrahydrocannabinol acetate (THC-O, ATHC, THC-X,",Unknown,,,242
Entry-242-492,"finished product, suchas CBD-dominant gummiesor edibles that do not have",Edible,,,242
Entry-242-493,o Hemp-derived tincture may be sold without a license iftheproduct contains a,Edible,,,242
Entry-242-494,"CBD:THC ratio that is atleast 15:l or greater, e.g. a product with 2 mg ofTHC",Unknown,,,242
Entry-242-495,"glycerin, or vegetable oil); and contains no more than 100 milligrams ofTHCper",Concentrate,,,242
Entry-242-496,"ofbusinesses to identify unlicensed cannabis operators by inspectingproducts, displayed forsale",Flower,,,242
Entry-243-497,"to customers, during business hours. Ifintoxicating cannabis products, to include intoxicating",Flower,,,243
Entry-243-498,"the business is not licensed to sell intoxicatingcannabis products, to include intoxicating hemp",Flower,,,243
Entry-243-499,"Businesses thatare not MCA cannabis licenseholders but sell intoxicating cannabis products, to",Flower,,,243
Entry-243-500,"distributing intoxicating cannabisproducts, to include intoxicating hemp derived products.",Flower,,,243
Entry-243-501,"These intoxicatingcannabis products, including intoxicating hemp derived products, must be",Flower,,,243
Entry-243-502,sold without an MCA issued cannabis license. Businesses that are notMCA cannabis license,Flower,,,243
Entry-243-503,"holders, but currently sell intoxicating cannabisproducts, to include hemp derived products,",Flower,,,243
Entry-243-504,"Division, at dllld-unlicensedcannabis atcc(@.maryland.gov ifyou have any questions aboutthis",Flower,,,243
Entry-243-505,!!.uliçeosedcannabisJtcc@mª1:YlanrjgQy,Flower,,,243
Entry-244-506,"Maryland Alcohol,Tobacco, and Cannabis Commission Contacts",Flower,,,244
Entry-244-507,o Inquiries regarding all Alcoholic BeverageTradePractices.,Edible,,,244
Entry-244-508,• MarylandCannabis Administration: infonnation.mmcc@maryland.goy,Flower,,,244
Entry-244-509,• Legal & Legislative Division: dllld-unlicensedcannabis aLcc@maryland.gov,Flower,,,244
Entry-244-510,o Questionsabout the cannabis enforcement process.,Flower,,,244
Entry-244-511,• Field EnforcementDivision: dlfed-unlicenscdcannabis atcc@maryland.gov,Flower,,,244
Entry-246-512,THC-H+ lliC·JD,Unknown,,,246
Entry-246-513,UVERESINGUMM1£S,Concentrate,,,246
Entry-247-514,01Ft1t11Jf1VJOINT,Preroll,,,247
Entry-262-515,"o The property identified in this Notice was confiscated under the provisions of the Alcoholic Beverages Article,",Edible,,,262
Entry-262-516,against the Comptroller in the Circuit Court where the seizure occurred within 30 days of the date of the seizure or,Preroll,,,262
Entry-262-517,Notice of Seizure. A copy of the claim filed with the Circuit Court must be served upon the Comptroller of,Preroll,,,262
Entry-263-518,Endorsements: Cigarette 9' SpecialCigarette f3;t? OTP ? Restaurant o Chain ? Other o,Preroll,,,263
Entry-263-519,CigaretteSupplíer: e:::;... ?( --r¡.. [7 DeliveryDate: /¿1 l.o . L ? MOStamps: Yes? No O,Preroll,,,263
Entry-264-520,"o The property identified in this Notice was confiscated under the provisions of the Alcoholic Beverages Article,",Edible,,,264
Entry-264-521,againstthe Comptroller in the Circuit Court wherethe seizure occurred within 30 days of the dateof the seizure or,Preroll,,,264
Entry-264-522,Notice of Seizure. A copy of the claim filed with the Circuit Court must be served upon the Comptroller of,Preroll,,,264
Entry-265-523,"Endorsements: Cigarette J;z( SpecialCigarette J¡j OTP,Ill Restaurant O Chain ,.0 Other o",Preroll,,,265
Entry-265-524,"CigaretteSupplier: Ge or(\r J"""" te.. I te t DeliveryDate:..:.1..:..1__,_·¡___,.,..,...)""------ MDStamps: Yes,.0' / No O",Preroll,,,265
Entry-266-525,"Alcohol, Tobacco, and Cannabis Commission",Flower,,,266
Entry-266-526,"Cannabis Commission, 1215 Fort Ave, Ste. 300, Baltimore, Maryland21230.",Flower,,,266
Entry-266-527,"Alcohol,Tobacco, and CannabisCommission",Flower,,,266
Entry-270-528,Maryland Alcohol Tobacco & Cannabis Commission,Flower,,,270
Entry-271-529,Maryland Alcohol Tobacco & Cannabis Commission,Flower,,,271
Entry-273-530,CANNABIS,Flower,,,273
Entry-273-531,"forthe Maryland CannabisAdministration (MCA), and",Flower,,,273
Entry-273-532,(2) I have searched the records ofthe Maryland CannabisAdministration for any and all,Flower,,,273
Entry-273-533,records related to the issuance of a cannabis license or registration by the MCA on or,Flower,,,273
Entry-274-534,CANNABIS,Flower,,,274
Entry-274-535,"forthe Maryland Cannabis Administration (MCA), and",Flower,,,274
Entry-274-536,(2) I have searched the records ofthe Maryland Cannabis Administration for any and all,Flower,,,274
Entry-274-537,records related to the issuance ofa cannabis license or registration by the MCA on or,Flower,,,274
Entry-275-538,CANNABIS,Flower,,,275
Entry-275-539,"forthe Maryland Cannabis Administration (MCA), and",Flower,,,275
Entry-275-540,(2) I have searched the records of the Maryland Cannabis Administration for any and all,Flower,,,275
Entry-275-541,records related to the issuance ofa cannabis license or registration by the MCA on or,Flower,,,275
Entry-276-542,CANNABIS,Flower,,,276
Entry-276-543,"forthe Maryland Cannabis Administration (MCA), and",Flower,,,276
Entry-276-544,(2) I have searched the records ofthe Maryland Cannabis Administration forany and all,Flower,,,276
Entry-276-545,records related to the issuance ofa cannabis license or registration by the MCA on or,Flower,,,276
Entry-277-546,CANNABIS,Flower,,,277
Entry-277-547,"forthe Maryland Cannabis Administration {MCA), and",Flower,,,277
Entry-277-548,(2) I have searched the records ofthe Maryland Cannabis Administration for any and all,Flower,,,277
Entry-277-549,records related to the issuance ofa cannabis license or registration by the MCA on or,Flower,,,277
Entry-278-550,CANNABIS,Flower,,,278
Entry-278-551,"for the Maryland CannabisAdministration (MCA), and",Flower,,,278
Entry-278-552,(2) I have searched the records ofthe Maryland Cannabis Administration for any and all,Flower,,,278
Entry-278-553,records related to the issuance of a cannabis license or registration by the MCA on or,Flower,,,278
Entry-279-554,"Aberdeen, Maryland 21001, was participating in the distribution ofhigh-grade Cannabis. CI-I is a past, proven,",Flower,,,279
Entry-279-555,"Detective Epps advised Sergeant Helf, who then stopped Lewi forlittering. Detective Helfthen observed avape in",Cartridge,,,279
Entry-279-556,Lewi's right pocket. Lewi informed Sergeant Helfthat he (Lewi) was only 19 years old and that the vape cost him,Cartridge,,,279
Entry-279-557,to purchase Cannabis from the employee on location at the time. The employee advised Sergeant Helfto go to a,Flower,,at the time,279
Entry-279-558,"an addictive chemical. While in the store, Detective Sergeant Helfobserved various forms ofCannabis on display",Flower,,,279
Entry-280-559,"Detective Armiger knows from his training, knowledge, and experience that the amount of Cannabis and U.S.",Flower,,,280
Entry-280-560,individual to possess for any purpose permitted by law. Detective Armiger is aware that this amount ofCannabis,Flower,,,280
Entry-280-561,"During the third week of February 2025, Detective Sergeant Helf conducted a controlled purchase of",Preroll,,,280
Entry-280-562,CannabisfromtheAll lnOne Food MartutilizingCI-1. Thepurchased Cannabis was latertransportedbyDetective,Flower,,,280
Entry-280-566,"were conducted and it was learned that all oftheir retail store locations were involved in the sale ofCannabis, and",Flower,,locations were involved in the,280
of25,advertised testresults by the product manufacturer that it contained atotal THC content of25%.,Unknown,,,280
Entry-281-568,"cartridges, pre-rolled Cannabis cigarettes (commonly referred to as Joints/Blunts), as well as various mushroom",Flower,,,281
Entry-281-569,edibles which were sold under the guise to have hallucinogenic properties like Psilocybin. While conducting,Edible,,,281
Entry-281-570,"undercoverpurchases, the detectives buying the products would refer to them in common Cannabis terms such as",Flower,,,281
Entry-281-571,"""Flower"" and ""Pre-Rolls."" The undercoverdetectives would engagethe clerks indiscussions in which they stated,",Flower,,,281
Entry-281-572,"• THC Oil/Concentrate-3,295.3 Grams",Concentrate,295.3,,281
Entry-281-573,• Pre-RolledCannabis - 307.5 Grams,Flower,307.5,,281
Entry-281-574,• Pre-Packaged Cannabis - 603.5 Grams,Flower,603.5,,281
Entry-281-575,"• Loose BulkCannabis - 2,691.8 Grams",Flower,691.8,,281
Entry-281-576,"• Suspected Psilocybin Edibles/Gummies - 2,499.4 Grams",Edible,499.4,,281
Entry-281-577,• THCGummies/Edibles - 847.54Grams,Edible,847.54,,281
Entry-281-578,• PackagingMaterials,Ambiguous,,,281
Entry-281-579,• THC Cartridges - 200 Grams,Cartridge,200.0,,281
Entry-281-580,• THC Oil - 71 Grams,Concentrate,71.0,,281
Entry-281-581,"• Pre-Rolled Cannabis - 1,314.5 gramsofTHC",Flower,,,281
Entry-281-582,• Pre-Packaged Cannabis - 956 grams ofTHC,Flower,956.0,,281
Entry-281-583,• LooseBulkCannabis - 956Grams ofTHC,Flower,956.0,,281
Entry-281-584,• SuspectedPsilocybinEdibles/Gummies - 221 grams,Edible,221.0,,281
Entry-281-585,"• THC Gummies - 2,094.15 grams",Edible,94.15,,281
Entry-282-586,• THC - 2918.3 Grams,Unknown,2918.3,,282
Entry-282-587,• Suspected Psilocybin Edibles/Gummies - 616.6 Grams,Edible,616.6,,282
Entry-282-588,• THC Cartridges - 981.2 Grams,Cartridge,981.2,,282
Entry-282-589,• THC Oil - 28 Grams,Concentrate,28.0,,282
Entry-282-590,"• Pre-Rolled Cannabis - 2,066.5 Grams",Flower,66.5,,282
Entry-282-591,"• Pre-Packaged Cannabis - 3,294.75 Grams",Flower,294.75,,282
Entry-282-592,• THCGummies - 912.13 Grams,Edible,912.13,,282
Entry-282-593,• Suspected Psilocybin Edibles/Gummies - 460 Grams,Edible,460.0,,282
Entry-282-594,• THC Cartridges-767 Grams,Cartridge,767.0,,282
Entry-282-595,• THCOil - 56Grams,Concentrate,56.0,,282
Entry-282-596,• Pre-RolledCannabis - 373.5 Grams,Flower,373.5,,282
Entry-282-597,• Pre-PackagedCannabis - 613.5 Grams,Flower,613.5,,282
Entry-282-598,• THCGummies - 345.9Grams,Edible,345.9,,282
Entry-282-599,• Suspected Psilocybin Edibles/Gummies - 23.8 Grams,Edible,23.8,,282
Entry-282-600,"• THC Cartridges - 7,985.4Grams",Cartridge,985.4,,282
Entry-282-601,• THC Oil - 374Grams,Concentrate,374.0,,282
Entry-282-602,"• Pre-RolledCannabis - 3,566.95 Grams",Flower,566.95,,282
Entry-282-603,"• Pre-Packaged Cannabis - 2,128.3 Grams",Flower,128.3,,282
Entry-282-604,"• Loose BulkCannabis -3,057 Grams",Flower,57.0,,282
Entry-282-605,"• THC Edibles/Gummies - 6,348.4 Grams",Edible,348.4,,282
Entry-282-606,"• Suspected PsilocybinEdibles/Gummies- 1,453.68 Grams",Edible,453.68,,282
Entry-282-607,"Detective Armiger knows that Maryland is a total THC state, where some states throughout the United",Unknown,,,282
Entry-282-608,Cannabis sample's total THC must not exceed 0.3% on a dry weight basis.,Flower,,,282
Entry-283-609,an undercover capacity to conduct undercover purchases ofCannabis from each location. These purchases were,Flower,,,283
Entry-283-610,"As aresult ofthe field testing, Cannabis from each store tested higherthan the0.3% permittable by Maryland State",Flower,,tested higherthan the0,283
Entry-283-612,03/18/25 Tobacco Town 3.5 Grams Cannabis 10.7% Total THC,Flower,3.5,,283
Entry-283-613,03/18/25 Convenience City Inc. 17.5 Grams Cannabis 18.5% Total THC,Flower,17.5,,283
Entry-283-614,04/03/25 Smoke Star lnc. 7 Grams Cannabis 22.7% Total THC,Flower,7.0,,283
Entry-283-615,04/03/25 Smoke City 3.5 Grams Cannabis & 2 8.7%Total THC,Flower,3.5,,283
Entry-283-616,Pre-Rolled Cannabis,Flower,,,283
Entry-283-617,Cigarettes,Preroll,,,283
Entry-283-618,gradeCannabis. DetectiveArmigerfurtherconsulted withAgentMangoldoftheATCCwhoadvisedthattheabove,Flower,,,283
Entry-283-619,"and Delta-8 THC products, as well as Hemp derived products that contain less than 0.3% Delta-9 THC",Unknown,,,283
Entry-283-620,Cannabis products that were consistent withthe tested Cannabis from the initial purchases. lt should also be noted,Flower,,,283
Entry-283-621,"that upon scanning some of the QR codes on the pre-rolled Cannabis cigarettes, they would direct the person",Flower,,,283
Entry-283-622,"scanning to a third-party tests' results page, which advertised a higher total THC content. This information was",Unknown,,,283
s,as examples ofthe total THC ofthe purchases and pretested items.,Unknown,,,283
Entry-287-623,Intentto Distribute Controlled Dangerous Substances(CDS)as defined in Criminal Law Article,Preroll,,,287
Entry-287-624,"Sections 1-202, 5-601 through 5-621, dealing generally with Controlled Dangerous Substances,",Preroll,,,287
Entry-287-625,"SinceFebruary 202S,youraffia11tbegan investigatingthedistributionofCannabisby",Flower,,,287
Entry-288-626,distributionofhigh-gradeCannabis undertheguiseoftheCannabis beingsold asaCBDor,Flower,,,288
Entry-288-627,products and that onlylicensedCannabis businessessuch asdispensariescan sellCannabis.,Flower,,,288
Entry-288-628,Marylandstatelawprohibits anyonewithoutaCannabislicensefromdistributing a product,Flower,,,288
Entry-288-629,Cannabisfrom the AllinOneFoodMart.TheCannabiswas thentransportedbySgt.Helfto,Flower,,,288
Entry-288-630,"theMarylandAlcohol,Tobacco,andCannabisCommission(ATCC),locatedat1215EastFort",Flower,,,288
Entry-288-631,theLightLab 3Cannabis Analyzer. Asaresultofthetest thepurchasedcannabístestedata,Flower,,,288
Entry-289-632,Cannabis fromeach oftheretailbusinesses.Theseaforementionedpurchasesareasfollows:,Flower,,,289
Entry-289-633,"• 03/18/2S, 3,5GramsCannabis& 3Pre-Rolled Cannabis Cigaretta",Flower,,,289
Entry-289-634,"• 05/14/25,J.SGramsCannftbis & 1""Silly FarmsMagicMushroom Chocolate''",Edible,,,289
Entry-289-635,"• 03/1812S,3.SGrams Cannabis",Flower,,,289
Entry-289-636,"• 05/14/2S, 3 Pre-Rolled Cannabis Cigarettes, 1 ""Polka Dot Mushroom Magic",Flower,,,289
Entry-289-637,"Blend Belgian WhiteChocolatePinkCheesecake""Bar",Edible,,,289
Entry-289-638,"• 03/18/2S,17.5 Grams Cannabis",Flower,17.5,,289
Entry-289-639,"• 04/03/25,3.5GramsCannabis & 2Pre-Rolled Cnnu11bisCigarettes",Flower,,,289
Entry-289-640,"• 05/14/25, 3Pre-Rolled l Gram Blunts",Preroll,,,289
Entry-289-641,"• 04/03/25,7GramsCannabis",Flower,,,289
Entry-289-642,"• 05/14/25, 3.5 Grarm Cannabis & 1 Package or8 ""Road Trip DesertStardust",Flower,,,289
Entry-289-643,"MushroomGummies""",Edible,,,289
Entry-289-644,"• 04/03/25, 2GramsCannabis & 2Pre-Rolled Cannabis Cigarettes",Flower,,,289
Entry-289-645,"• 05/14/25,2 GramsCannabis & 3 Pre-RoUed Cannabis Cigarettes",Flower,,,289
Entry-289-646,• 0S/15/253.5Grams Cannabis,Flower,253.5,,289
Entry-289-647,"• 3/18/25, 3,5 GramsCannabis",Flower,,,289
Entry-289-648,"• 05/14/25,3.5 Grams Cannabis & 1 Package or8 ""Road TripDesertStardust",Flower,3.5,,289
Entry-289-649,"Mushroom Gummies""",Edible,,,289
Entry-290-650,the purchased Cannabis was transported to theATCCwhere lt was fjeld tested my Agent,Flower,,,290
Entry-290-651,"2.5%THC perpackage,",Unknown,,,290
MD 21047,"MD 21047.Duringthe search warrantservice, detectives observed the purchased cannabis",Flower,,,290
Entry-291-653,Inadditiontoarrestsforcontrolleddangeroussubstancesandresponses to callsforservice,Preroll,,,291
Entry-291-654,"which included possession and possession with intent to distribute marijuana, cocaine,",Flower,,,291
Entry-291-655,searchwarrantsrelated to narcoticsinvestigationswhichhaveresultedintheseizureofcontrolled,Preroll,,,291
Entry-291-656,"dangeroussubstances,monies,assets,andthearrestsofseveralpersons. Youraffianthasalsomade",Ambiguous,,,291
Entry-291-657,"includingLSD, Ketamine, Cocaine,Psilocybin, MDMA, and variousprescriptionpills.",Edible,,,291
Entry-291-658,"ordering,sale,and distribution ofcontrolled dangerous substances.",Preroll,,,291
Entry-291-659,"investigation ofcontroJled dangerous substances violations, your affianthas found that persons",Ambiguous,,,291
Entry-292-660,"involved in theuse, manufacturing, and distributlonofcontrolled dangerous substances areoften",Preroll,,,292
Entry-292-661,involvedintheuseanddistributionofothercontrolleddangeroussubstanceswhichisa regenerative,Preroll,,,292
Entry-292-662,"activity,thatis aportionoftheproceedsfromthesaleofcontrolleddangeroussubstancesisused to",Preroll,,,292
Entry-292-663,Your affiant has also participated and completed controlled purchases for controlled,Preroll,,,292
Entry-292-664,"training,knowledge,andexperience,thecontrolledpurchasesfrom theabovereferencedretail",Preroll,,,292
Entry-292-665,"&tobaccoshops,thenumerousundercoverpurchasesofCannabis,thereisprobablecauseto",Flower,,,292
Entry-292-666,distribution and /or pessessionwith the intentto distribute and/ or possession ofcontrolled,Preroll,,,292
Entry-292-667,"dangeroussubstances,ashereinbeforecited,arebeingviolatedinand uponsaidperson,and",Ambiguous,,,292
Entry-293-668,"ofcontrolleddangeroussubstancesviolations,foundinoruponsaidpremisesandperson(s)inclose",Preroll,,,293
Entry-293-669,"proximity to contraband, controlled dangerous substances or controlled dangerous substance",Preroll,,,293
